home_total_l5,home_total_l10,home_total_l20,home_home_avg,home_std,away_total_l5,away_total_l10,away_total_l20,away_away_avg,away_std,total_sum_l5,total_sum_l10,total_diff_l5,home_rest_days,away_rest_days,is_b2b_home,is_b2b_away,rest_diff,altitude_ft,days_into_season,actual_total,_game_id,_date,_home,_away,_home_score,_away_score
243.0,243.0,243.0,243.0,10.0,224.0,224.0,224.0,224.0,10.0,467.0,467.0,19.0,1,2,0,0,-1,0,85,218,2020-12-25-Celtics-Nets,2020-12-25,Celtics,Nets,95,123
220.0,220.0,220.0,220.0,10.0,212.0,212.0,212.0,212.0,10.0,432.0,432.0,8.0,1,1,0,0,0,0,85,209,2020-12-25-Heat-Pelicans,2020-12-25,Heat,Pelicans,111,98
243.0,243.0,243.0,243.0,10.0,224.0,224.0,224.0,224.0,10.0,467.0,467.0,19.0,1,2,0,0,-1,0,85,237,2020-12-25-Bucks-Warriors,2020-12-25,Bucks,Warriors,138,99
250.0,250.0,250.0,250.0,10.0,212.0,212.0,212.0,212.0,10.0,462.0,462.0,38.0,2,2,0,0,0,0,86,233,2020-12-26-Spurs-Raptors,2020-12-26,Spurs,Raptors,119,114
246.0,246.0,246.0,246.0,10.0,208.0,208.0,208.0,208.0,10.0,454.0,454.0,38.0,2,2,0,0,0,0,86,209,2020-12-26-Kings-Suns,2020-12-26,Kings,Suns,106,103
250.0,250.0,250.0,250.0,10.0,228.0,228.0,228.0,228.0,10.0,478.0,478.0,22.0,2,2,0,0,0,0,86,234,2020-12-26-Grizzlies-Hawks,2020-12-26,Grizzlies,Hawks,112,122
228.0,228.0,228.0,228.0,10.0,228.0,228.0,228.0,228.0,10.0,456.0,456.0,0.0,2,2,0,0,0,0,86,231,2020-12-26-Bulls-Pacers,2020-12-26,Bulls,Pacers,106,125
212.0,212.0,212.0,212.0,10.0,235.0,235.0,235.0,235.0,10.0,447.0,447.0,-23.0,2,2,0,0,0,0,86,247,2020-12-26-Pistons-Cavaliers,2020-12-26,Pistons,Cavaliers,119,128
220.0,220.0,220.0,220.0,10.0,212.0,212.0,212.0,212.0,10.0,432.0,432.0,8.0,2,2,0,0,0,4226,86,227,2020-12-26-Jazz-Timberwolves,2020-12-26,Jazz,Timberwolves,111,116
228.0,228.0,228.0,228.0,10.0,220.0,220.0,220.0,220.0,10.0,448.0,448.0,8.0,2,2,0,0,0,0,86,198,2020-12-26-Knicks-76ers,2020-12-26,Knicks,76ers,89,109
